Latitude,Longitude,Year,Theatre
22.4952782,72.9436393,1775,Land
22.4952782,72.9436393,1775,Land
21.647067,91.5459743,1944,Land
27.1766701,78.0080745,1713,Land
27.1766701,78.0080745,1787,Land
27.1766701,78.0080745,1799,Land
27.1766701,78.0080745,1803,Land
27.1766701,78.0080745,1857,Land
23.022505,72.5713621,1572,Land
23.022505,72.5713621,1780,Land
19.0952075,74.7495916,1596,Land
19.0952075,74.7495916,1600,Land
19.0952075,74.7495916,1803,Land
32.5125063,70.0134471,1920,Land
12.8184766,79.6859038,1696,Land
33.8079054,70.1481411,1920,Land
26.8166485,80.9076582,1857,Land
20.3833858,76.854799,1762,Land
27.8973944,78.0880129,1803,Land
27.8973944,78.0880129,1857,Land
34.0332698,71.254813,1839,Land
34.0332698,71.254813,1842,Land
34.0332698,71.254813,1878,Land
30.9449179,75.610665,1846,Land
29.5892407,79.646666,1815,Land
34.401272,72.4790696,1863,Land
12.7903613,78.7166084,1749,Land
12.7903613,78.7166084,1767,Land
22.5597933,75.12243,1728,Land
26.7634654,82.394,1858,Land
31.6339793,74.8722642,1634,Land
31.6339793,74.8722642,1797,Land
31.6339793,74.8722642,1798,Land
31.6339793,74.8722642,1919,Land
28.9043537,78.4673426,1305,Land
31.2344015,76.5054652,1700,Land
31.2344015,76.5054652,1701,Land
31.2344015,76.5054652,1704,Land
31.2344015,76.5054652,1704,Land
25.9203837,80.7964158,1857,Land
34.834739,72.8354119,-327,Land
19.3941058,91.2924998,1942,Land
19.3941058,91.2924998,1943,Land
19.3941058,91.2924998,1944,Land
12.904441,79.3191576,1751,Land
12.904441,79.3191576,1780,Land
21.152684,77.847023,1803,Land
15.4051146,77.1995558,1791,Land
10.8379293,78.8184453,860,Land
19.4600623,72.7475415,1780,Land
12.6713363,79.281759,1751,Land
12.6713363,79.281759,1782,Land
25.5560443,84.6603307,1857,Land
18.8043913,75.1680394,1818,Land
21.471813,76.29272,1600,Land
21.471813,76.29272,1819,Land
20.2374757,75.8781052,1803,Land
33.7659684,72.3608754,1813,Land
21.8573533,95.9819358,1527,Land
21.8573533,95.9819358,1555,Land
21.8573533,95.9819358,1752,Land
31.5771808,76.5238496,1858,Land
26.0737044,83.1859458,1858,Land
30.860768,75.7447476,1846,Land
28.5737414,76.7900561,1857,Land
25.0611925,86.8869453,1858,Land
33.9980496,73.7948516,1919,Land
33.9980496,73.7948516,1788,Land
25.8777534,83.0441927,1658,Land
25.9292581,82.4007767,1752,Land
7.8571798,78.4616693,1594,Land
20.6882062,76.7913558,1720,Land
23.9848846,71.8838144,1623,Land
25.4796224,80.3380213,1858,Land
12.9715987,77.5945627,1791,Land
28.1762171,81.3772,1858,Land
31.2482639,76.8854302,1760,Land
32.0831337,70.5851264,1920,Land
28.3670355,79.4304381,1858,Land
23.7095555,74.1386767,1858,Land
12.6151518,76.1240224,1696,Land
26.8413222,80.9204281,1857,Land
26.8413222,80.9204281,1857,Land
26.8413222,80.9204281,1857,Land
32.5038195,75.8107712,1702,Land
16.7753609,94.7381013,1825,Land and Sea
16.7753609,94.7381013,1852,Land and Sea
19.3919275,72.8397317,1737,Land
19.3919275,72.8397317,1780,Land
13.8215909,75.0304481,1783,Land
26.9706,82.441961,1858,Land
24.2629574,97.2383178,1885,Land
24.2629574,97.2383178,1944,Land
30.4924257,77.7394856,1688,Land
27.216981,77.489515,1805,Land
27.216981,77.489515,1825,Land
19.096654,72.9026801,1624,Land
34.050303,74.0578393,1947,Land
32.4770072,72.9135734,1006,Land
18.7719444,73.3655556,1781,Land
23.2599333,77.412615,1737,Land
17.3172723,74.5859497,1679,Land
16.8301708,75.710031,1679,Land
16.8301708,75.710031,1685,Land
16.8301708,75.710031,1858,Land
17.2167004,97.2302295,1942,Land
26.6057354,80.2697653,1857,Land
27.2644943,92.4159308,1962,Land
25.9547245,80.1377319,1858,Land
28.406963,77.8498292,1857,Land
25.4530313,78.609827,800,Land
23.2324214,87.8614793,1747,Land
23.221828,86.6295748,1858,Land
21.916221,95.955974,1942,Land
30.725768,75.2756139,1965,Land
25.5647103,83.9777482,1764,Land
22.572646,88.363895,1756,Land
22.572646,88.363895,1757,Land
11.2587531,75.78041,1500,Land and Sea
11.2587531,75.78041,1790,Land
26.449923,80.3318736,1857,Land
26.449923,80.3318736,1857,Land
26.449923,80.3318736,1857,Land
26.449923,80.3318736,1857,Land
7.873054,80.771797,1942,Sea and Air
18.7602664,73.8630346,1660,Land
27.1845827,77.6392939,1788,Land
30.8927397,76.4129198,1704,Land
30.8927397,76.4129198,1704,Land
22.4844703,73.5314366,1535,Land
19.9402823,79.3126226,1818,Land
26.0616592,82.305622,1857,Land
26.0616592,82.305622,1858,Land
24.7128343,78.1364889,1858,Land
22.8647723,88.36326,1757,Land and Sea
26.3514642,79.252835,1194,Land
24.2065083,84.8724284,1857,Land
18.5387171,72.9154273,1508,Sea
25.5091994,83.892355,1539,Land
32.3445875,74.7059059,1965,Land
12.3067864,78.7957856,1767,Land
32.884029,74.395599,1965,Land
32.884029,74.395599,1971,Land
32.6571027,73.6043142,1849,Land
12.6839952,79.9833483,1752,Land
26.8770713,81.0399603,1857,Land
12.5401384,76.6001112,1771,Land
22.8858771,88.3919026,1759,Land and Sea
15.8837134,75.6496678,1695,Land
24.8887435,74.6269216,1534,Land
24.8887435,74.6269216,1567,Land
35.8552973,71.7886785,1895,Land
9.9312328,76.2673041,1506,Land
6.9270786,79.861243,1587,Land and Sea
6.9270786,79.861243,1655,Land
6.9270786,79.861243,1796,Land
6.9270786,79.861243,1942,Sea and Air
12.8341735,79.7036402,1751,Land
12.7870019,80.2504447,1752,Land
