Longitude,Latitude,Start
71.5616,34.035,1001
72.434,34.017,1006
72.9069,32.4811,1006
72.434,34.017,1008
76.8198,29.9696,1011
76.8198,29.9696,1011
77.7097,28.78,1019
77.7097,28.78,1019
68.9685,22.2442,1026
75.9637,29.0972,1037
76.1866,10.8652,1054
76.0599,16.203,1063
77.0305,12.1947,1116
72.1266,23.8493,1178
76.924,29.7996,1191
76.924,29.7996,1192
78.3958,27.1591,1194
76.924,29.7996,1216
76.3985,29.7857,1240
74.315,31.588,1241
75.2217,19.9461,1294
75.5762,31.326,1298
77.2309,28.6546,1299
78.4673,28.9044,1305
71.866,30.609,1306
75.2217,19.9461,1307
79.5941,17.9689,1309
75.2217,19.9461,1318
79.5941,17.9689,1322
75.2018,19.6086,1326
77.1399,15.7703,1367
77.185,28.52,1398
76.3098,16.16,1398
71.474,30.198,1398
77.7064,28.9845,1399
76.4606,15.3353,1406
78.1256,16.2528,1418
77.9513,21.929,1428
76.4361,16.0087,1443
75.7804,11.2588,1500
75.7804,11.2588,1502
76.2673,9.9312,1506
72.9431,18.5656,1508
70.9977,20.713,1509
73.9154,15.5028,1510
73.9154,15.5028,1510
79.274,14.8654,1513
80.2652,16.2568,1515
77.3495,16.1996,1520
76.9635,29.3909,1526
77.5462,27.0452,1527
95.98,21.855,1527
84.6758,25.7554,1529
74.6447,24.887,1534
73.5314,22.4845,1535
85.4711,23.8012,1535
70.925,20.7216,1538
83.8909,25.509,1539
96.467,17.319,1539
79.9137,27.0514,1540
70.925,20.7216,1546
100.562,14.36,1548
96.482,17.357,1551
95.239,18.815,1552
76.3811,30.616,1555
95.98,21.855,1555
77.2309,28.6546,1556
76.9635,29.3909,1556
75.3121,18.738,1560
76.1929,30.9141,1560
80.2652,16.2568,1563
76.3109,16.4783,1565
74.6447,24.887,1567
100.562,14.36,1568
72.5714,23.0225,1572
73.2856,22.7875,1572
87.2813,21.8829,1575
73.6958,24.9012,1576
87.8309,25.0543,1576
72.057,34.197,1586
79.843,6.936,1587
79.917,8.976,1591
80.541,7.281,1594
75.168,18.8044,1596
74.7557,19.0964,1596
96.49,17.335,1599
74.7557,19.0964,1600
76.2938,21.4711,1600
73.9154,15.5028,1604
87.6551,23.2156,1612
72.6893,21.0591,1612
96.248,16.758,1613
75.7195,19.7967,1616
80.0392,9.6708,1619
75.4715,31.6899,1621
77.3387,29.0055,1623
74.8942,19.0527,1624
79.7179,25.4982,1624
81.051,6.988,1630
